States/UTs,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,22061,15309,12799,14857,13760,15045,12247,13505,14480,11092
Arunachal Pradesh,225,145,161,130,228,163,173,238,0,0
Assam,1088,1023,1262,1173,1084,1018,1281,1786,1641,1728
Bihar,1057,752,708,1097,1620,1498,1960,2190,1811,1907
Chhattisgarh,2055,2687,3015,2259,2969,3696,3550,2653,2791,3932
Goa,354,269,278,332,360,480,602,524,401,390
Gujarat,11039,11943,11411,10527,10881,11218,10291,10643,9981,8655
Haryana,2637,2937,2977,3097,3497,3577,3545,3371,3315,3215
Himachal Pradesh,1244,1450,1100,1289,1145,1145,1307,1262,1422,915
Jammu and Kashmir,1527,1103,1101,1939,1148,1333,1453,929,1916,1740
Jharkhand,1347,1448,1378,1210,1128,355,184,935,647,887
Karnataka,12449,11498,11652,15474,20673,21671,17622,18344,17778,17306
Kerala,6337,7019,8936,6678,8186,7395,7942,8089,7794,7965
Madhya Pradesh,8185,9703,10331,12123,11111,11731,13197,14654,15848,14705
Maharashtra,13808,14349,12154,13209,13880,14886,12859,13342,13559,13023
Manipur,219,355,224,203,322,378,351,287,218,344
Meghalaya,91,61,112,170,78,78,266,114,54,99
Mizoram,15,13,10,47,35,31,40,105,48,60
Nagaland,16,29,99,86,49,32,37,43,38,17
Odisha,1878,2026,2238,2931,3093,2631,3270,2771,2870,3075
Punjab,1164,1472,969,1486,1156,1707,1072,916,1242,1317
Rajasthan,3229,3613,3359,2465,3860,3442,3934,3838,2960,3015
Sikkim,67,97,232,41,20,17,120,99,135,82
Tamil Nadu,15304,16434,21598,20324,22021,28192,22278,23822,23098,25645
Tripura,197,444,30,335,474,870,772,812,559,532
Uttarakhand,832,608,620,615,373,314,314,405,507,434
Uttar Pradesh,2721,3901,3600,3991,4506,5966,6605,6671,4843,6376
West Bengal,4010,3960,6045,3921,5196,3567,3059,3793,3435,3714
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,1,0,0,0,87,58,123,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0
Daman and Diu,0,0,0,0,0,0,0,0,0,0
Delhi,991,1006,1150,1402,1002,730,857,909,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,404,455,271,191,44,0
All India,116147,115655,119549,123411,134259,143708,131517,137364,133435,132170
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
