State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,9679,10552,10534,12761,13549,13812,14770,15684,15165,14964
Arunachal Pradesh,127,166,87,129,95,134,158,148,126,138
Assam,1122,1288,1544,1841,1604,1807,1991,2256,2342,2291
Bihar,2368,1791,1588,2396,3482,3940,4390,5137,5090,5056
Chhattisgarh,1881,2060,2258,2374,2607,2966,2865,2956,2983,3167
Goa,235,306,242,303,322,318,321,327,333,292
Gujarat,5161,5423,5642,6161,6915,7070,6983,7506,8008,7817
Haryana,3028,3417,3379,4012,4415,4494,4603,4719,4762,4446
Himachal Pradesh,733,836,812,867,979,848,1140,1102,1072,1109
Jammu & Kashmir,836,958,884,989,958,950,1100,1045,1116,1165
Jharkhand,1699,1869,1919,1914,2081,1979,2170,2540,2572,2818
Karnataka,6195,6496,6904,7973,8777,8814,8714,9590,8971,9448
Kerala,2905,3059,3161,3627,3778,3901,3830,3950,4145,4286
Madhya Pradesh,4523,4703,5327,5318,6671,6670,7365,8085,7869,8175
Maharashtra,9483,9875,10259,11343,11212,12397,11396,12340,13057,13333
Manipur,127,115,137,159,114,151,125,154,158,158
Meghalaya,168,135,126,165,127,123,145,163,212,219
Mizoram,76,59,59,64,50,63,60,82,81,77
Nagaland,46,60,52,68,89,70,55,40,25,56
Odisha,2293,2454,2549,2755,3000,3079,3527,3837,3802,3701
Punjab,2655,2580,2793,3052,3363,3206,3668,3542,4931,4820
Rajasthan,6025,6477,6793,7154,8145,8388,9045,9163,9232,9528
Sikkim,40,51,77,70,52,79,87,71,106,55
Tamil Nadu,9275,9507,9758,11009,12036,12784,13746,15409,15422,16175
Tripura,168,181,209,196,223,221,229,231,245,272
Uttarakhand,756,931,868,975,992,1073,852,931,937,844
Uttar Pradesh,7845,9946,9955,10851,11398,13165,14638,15175,21512,16149
West Bengal,4361,4994,4727,4600,4745,4789,4860,5680,5664,5397
Andaman & Nicobar Islands,12,15,23,22,23,22,33,27,17,25
Chandigarh,134,149,135,142,151,148,171,138,136,136
Dadra & Nagar Haveli,34,54,55,45,66,65,45,62,63,53
Daman & Diu,19,24,24,27,29,29,33,31,33,29
Delhi,1801,1907,1862,2169,2141,2093,2325,2153,2065,1866
Lakshadweep,0,0,0,1,0,0,2,0,0,0
Puducherry,188,180,226,217,255,212,218,239,233,193
All India,85998,92618,94968,105749,114444,119860,125660,134513,142485,138258
