States/UTs,Total No. of Road Accidents 2006,Total No. of Road Accidents 2007,Total No. of Road Accidents 2008,Total No. of Road Accidents 2009,Total No. of Road Accidents 2010,Total No. of Road Accidents 2011,Total No. of Road Accidents 2012,Number of Persons Killed 2006,Number of Persons Killed 2007,Number of Persons Killed 2008,Number of Persons Killed 2009,Number of Persons Killed 2010,Number of Persons Killed 2011,Number of Persons Killed 2012,Number of Persons Injured 2006,Number of Persons Injured 2007,Number of Persons Injured 2008,Number of Persons Injured 2009,Number of Persons Injured 2010,Number of Persons Injured 2011,Number of Persons Injured 2012
Andhra Pradesh,223,218,291,319,275,324,378,60,124,106,105,77,93,144,451,368,620,588,260,400,475
Arunachal Pradesh,0,2,0,5,3,2,23,0,0,0,0,1,0,5,0,3,0,5,2,3,7
Assam,98,79,70,74,80,85,85,33,35,39,43,39,38,42,75,58,31,28,51,61,59
Bihar,161,486,194,204,150,180,159,73,249,112,75,99,114,89,119,305,124,115,79,119,76
Chhattisgarh,164,216,209,364,222,210,158,13,26,11,29,36,50,36,182,212,213,498,250,134,137
Goa,137,142,102,80,69,54,65,14,10,3,4,3,9,4,105,98,73,51,41,30,34
Gujarat,669,829,940,685,619,744,605,156,169,138,130,114,149,118,656,741,836,646,582,656,503
Haryana,73,198,159,196,164,160,118,50,79,85,75,80,81,70,95,179,199,103,83,67,61
Himachal Pradesh,13,15,12,2,55,2,4,1,4,6,3,7,0,3,14,12,18,1,139,2,11
Jammu and Kashmir,95,18,0,0,4,42,6,6,2,0,0,1,5,1,120,13,0,0,9,13,1
Jharkhand,14,114,10,51,54,95,120,2,28,2,19,18,24,45,9,95,7,33,14,81,75
Karnataka,790,158,144,131,91,261,259,71,27,33,22,12,58,77,1002,219,170,179,140,211,211
Kerala,4,19,17,16,18,13,7,0,1,2,4,6,4,2,4,17,15,13,12,9,5
Madhya Pradesh,234,498,339,341,638,323,425,3,62,40,45,92,32,61,370,768,399,347,674,363,525
Maharashtra,248,473,368,461,841,456,447,58,82,82,107,186,168,171,262,410,379,510,445,448,429
Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,11,18,18,50,15,8,0,1,6,6,12,1,7,0,15,9,9,54,16,20,0
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,325,69,60,116,170,141,143,112,28,28,57,65,54,48,460,62,61,137,174,125,149
Punjab,10,127,38,82,83,138,125,5,86,26,38,50,102,103,18,139,29,40,40,69,66
Rajasthan,2,6,55,93,17,23,12,1,3,52,30,8,10,5,0,19,111,222,38,13,7
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,227,88,742,685,1304,1311,735,59,22,152,224,281,277,186,479,64,692,765,1493,1263,752
Tripura,90,10,7,14,4,0,5,27,1,7,3,0,0,3,218,78,1,17,6,0,3
Uttarakhand,12,9,25,32,0,5,3,11,5,24,16,0,4,3,6,11,35,37,0,12,0
Uttar Pradesh,671,789,1098,1357,744,1661,1803,342,464,664,795,386,1207,1147,588,568,857,1054,542,830,1473
West Bengal,391,337,322,363,274,222,179,183,287,172,148,143,97,86,407,555,197,268,174,168,133
Andaman and Nicobar Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,5,2,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0
All India,4662,4918,5225,5723,5894,6460,5864,1281,1800,1792,1984,1705,2583,2449,5655,5005,5079,5713,5264,5097,5192
