States/UTs,Number of Road Accidents - Total 2006,Number of Road Accidents - Total 2007,Number of Road Accidents - Total 2008,Number of Road Accidents - Total 2009,Number of Road Accidents - Total 2010,Number of Road Accidents - Total 2011,Number of Road Accidents - Total 2012,Number of Road Accidents - Fatal 2006,Number of Road Accidents - Fatal 2007,Number of Road Accidents - Fatal 2008,Number of Road Accidents - Fatal 2009,Number of Road Accidents - Fatal 2010,Number of Road Accidents - Fatal 2011,Number of Road Accidents - Fatal 2012,Number of Persons - Killed 2006,Number of Persons - Killed 2007,Number of Persons - Killed 2008,Number of Persons - Killed 2009,Number of Persons - Killed 2010,Number of Persons - Killed 2011,Number of Persons - Killed 2012,Number of Persons - Injured 2006,Number of Persons - Injured 2007,Number of Persons - Injured 2008,Number of Persons - Injured 2009,Number of Persons - Injured 2010,Number of Persons - Injured 2011,Number of Persons - Injured 2012
Andhra Pradesh,6540,6242,7739,6028,7200,7150,6556,1545,1459,1580,1463,1629,1546,1488,1255,1196,1958,1230,1882,1583,1630,10155,10246,11095,8984,10717,9879,9163
Arunachal Pradesh,10,12,17,17,14,18,27,2,2,3,6,4,4,6,3,2,5,6,4,4,6,13,12,20,23,23,26,37
Assam,205,187,218,257,342,280,286,36,45,33,54,72,58,57,36,47,43,65,86,62,53,224,258,299,274,550,396,422
Bihar,123,334,262,443,704,590,376,52,110,82,135,246,196,137,56,112,91,142,258,272,146,94,312,208,394,439,441,318
Chhattisgarh,319,159,295,250,323,345,333,21,21,36,23,29,30,33,24,20,36,31,28,30,37,307,140,378,255,387,342,338
Goa,85,88,74,62,67,54,56,10,3,2,2,1,2,2,10,3,2,2,1,2,2,74,109,74,42,58,21,36
Gujarat,3269,3540,3613,3550,3330,3237,2750,389,419,479,457,560,583,533,429,477,566,525,640,683,578,3923,4214,4634,4251,4005,3481,3033
Haryana,376,453,457,472,443,440,389,104,124,127,134,131,137,120,154,174,177,184,189,190,180,286,341,356,354,304,295,275
Himachal Pradesh,46,30,52,22,24,19,25,3,0,3,3,2,4,1,3,0,2,2,1,4,1,128,64,87,39,65,26,36
Jammu & Kashmir,171,178,170,174,224,200,176,12,14,12,19,16,11,14,12,22,14,20,18,22,16,147,234,254,212,243,82,42
Jharkhand,188,204,137,228,292,240,288,62,73,46,62,87,90,98,61,77,51,72,103,104,106,197,193,144,237,346,284,337
Karnataka,3358,3852,4132,3505,3573,3480,3430,352,478,453,411,422,425,450,389,529,506,465,478,480,485,5183,6591,5622,5472,5659,4775,4575
Kerala,6735,5522,5163,4911,4865,4872,4999,291,225,236,231,238,254,263,344,243,253,248,257,270,280,8058,6843,6244,5905,5893,5890,5979
Madhya Pradesh,1423,1734,1786,1739,1727,2290,2358,71,72,100,110,98,137,127,85,105,101,122,108,160,146,1986,2156,2226,2016,2026,2474,2570
Maharashtra,6129,6900,6201,6080,7282,5392,5208,434,549,575,565,735,634,658,498,640,670,670,804,754,769,4621,3970,4389,4379,4805,4264,4098
Manipur,12,19,25,58,36,52,52,2,4,3,4,6,7,7,2,4,3,4,6,7,7,13,26,55,127,79,88,108
Meghalaya,17,5,5,16,29,44,17,5,2,2,6,5,0,7,5,2,2,7,5,0,8,14,16,16,19,40,25,14
Mizoram,6,5,5,3,5,2,7,5,3,2,1,0,1,5,7,4,2,2,0,1,5,10,4,6,8,20,7,7
Nagaland,38,4,8,10,0,6,12,10,2,7,4,0,4,7,10,2,3,8,0,4,15,44,2,16,4,0,11,15
Odisha,281,286,320,413,488,433,407,59,77,84,124,133,105,119,80,79,88,133,154,122,150,394,397,461,511,643,627,574
Punjab,99,96,95,100,120,193,200,40,47,49,39,78,111,134,47,51,49,49,73,166,171,115,94,95,122,77,162,171
Rajasthan,707,655,704,545,588,428,430,130,128,147,98,126,89,103,180,134,178,111,112,94,85,912,808,991,940,808,662,604
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,3559,4657,3299,3335,2899,2846,3260,498,489,456,476,468,402,377,554,513,491,421,496,444,390,4923,6419,4480,3605,3697,4148,4475
Tripura,88,137,111,136,128,116,129,15,31,22,28,30,38,28,16,36,25,29,31,38,30,118,214,135,211,163,152,161
Uttarakhand,16,27,21,29,53,40,12,9,12,10,13,28,9,7,13,12,14,16,31,10,7,20,27,20,17,61,44,3
Uttar Pradesh,580,675,470,591,622,697,1038,219,277,166,206,275,258,300,262,336,275,296,327,447,426,451,430,543,633,581,525,830
West Bengal,386,425,551,385,581,497,303,98,66,170,96,181,107,83,103,168,113,113,165,110,85,502,410,591,398,587,569,329
Andaman & Nicobar Islands,32,18,26,29,36,22,16,2,3,1,3,1,1,2,2,3,1,3,1,1,2,48,25,26,36,55,29,20
Chandigarh,33,27,27,9,47,3,11,6,7,6,4,1,1,4,6,7,6,2,15,1,4,25,33,26,6,60,5,16
Dadra & Nagar Haveli,8,12,5,6,3,2,0,3,5,3,2,1,2,0,3,5,3,2,1,2,0,11,19,3,9,6,3,0
Daman & Diu,4,2,3,4,0,1,3,1,0,2,3,0,1,0,2,0,2,3,0,1,0,6,5,16,11,0,0,5
Delhi ,303,253,250,207,131,166,155,44,32,29,31,20,34,27,43,32,29,32,20,34,27,305,309,267,233,NA,196,171
Lakshadweep,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Puducherry,90,41,122,63,89,44,18,18,3,4,2,10,3,0,18,3,4,2,11,3,0,102,62,159,70,96,52,25
All India,35236,36779,36365,33677,36265,34199,33327,4548,4782,4930,4815,5633,5284,5197,4712,5038,5763,5017,6305,6105,5847,43409,44983,43937,39797,42493,39981,38787
