States/UTs,Number of Road Accidents - Total 2006,Number of Road Accidents - Total 2007,Number of Road Accidents - Total 2008,Number of Road Accidents - Total 2009,Number of Road Accidents - Total 2010,Number of Road Accidents - Total 2011,Number of Road Accidents - Total 2012,Number of Road Accidents - Fatal 2006,Number of Road Accidents - Fatal 2007,Number of Road Accidents - Fatal 2008,Number of Road Accidents - Fatal 2009,Number of Road Accidents - Fatal 2010,Number of Road Accidents - Fatal 2011,Number of Road Accidents - Fatal 2012,Number of Persons - Killed 2006,Number of Persons - Killed 2007,Number of Persons - Killed 2008,Number of Persons - Killed 2009,Number of Persons - Killed 2010,Number of Persons - Killed 2011,Number of Persons - Killed 2012,Number of Persons - Injured 2006,Number of Persons - Injured 2007,Number of Persons - Injured 2008,Number of Persons - Injured 2009,Number of Persons - Injured 2010,Number of Persons - Injured 2011,Number of Persons - Injured 2012
Andhra Pradesh,3114,2898,3052,3166,3762,3536,3497,1208,1131,1064,1180,1307,1263,1191,1153,1042,1130,1087,1483,1372,1339,3727,4271,4873,3941,4615,4326,4321
Arunachal Pradesh,9,17,18,15,10,9,11,2,3,6,4,2,4,5,6,5,15,9,5,7,10,60,134,69,119,120,47,53
Assam,917,996,968,740,906,774,634,326,286,357,276,280,236,192,644,341,387,348,452,345,239,1627,1705,1481,1301,2125,1132,1148
Bihar,822,908,988,1532,1361,1355,1285,335,347,354,696,546,543,534,342,351,419,749,635,567,601,568,766,931,1069,983,928,1055
Chhattisgarh,895,890,864,889,1000,1027,747,170,209,185,190,206,176,158,168,220,213,209,242,236,190,1159,1100,1241,1264,1286,1308,1224
Goa,249,265,278,228,251,252,204,23,10,13,11,15,26,17,24,10,24,12,15,26,18,269,194,293,250,292,253,258
Gujarat,2020,1849,1777,1386,1359,1367,1275,383,385,356,305,296,367,293,451,527,475,366,347,461,374,2407,2405,2406,1820,1844,1710,1588
Haryana,710,790,698,715,668,661,633,272,292,296,305,303,305,302,305,325,328,333,340,341,330,626,681,696,694,664,654,642
Himachal Pradesh,436,299,311,308,277,256,207,61,59,54,77,45,59,40,144,165,130,206,51,149,176,798,935,846,1044,974,1025,950
Jammu & Kashmir,979,892,612,750,707,830,1235,101,77,94,115,102,119,132,282,178,212,252,186,199,379,1640,1499,1533,1616,2081,448,1123
Jharkhand,594,680,561,522,488,570,520,202,252,238,222,184,202,239,230,266,249,246,254,258,283,391,596,445,516,531,720,648
Karnataka,5084,5173,5056,4825,4562,3922,3932,905,1040,960,919,884,753,778,1099,1180,1136,1045,1006,859,875,9115,7615,9387,8121,8026,6134,6072
Kerala,5553,5379,4996,4753,4693,4716,4847,595,674,706,691,705,753,776,649,761,786,772,795,834,865,7998,8731,7813,7334,7302,7235,7272
Madhya Pradesh,4284,4489,3663,3580,3916,3820,3939,558,653,539,652,632,587,580,608,880,681,861,789,667,766,5021,4622,6156,5779,6800,6934,6486
Maharashtra,4052,3370,3898,3588,5475,4037,3892,470,467,446,346,703,473,493,462,515,550,550,741,583,595,3614,2715,3736,3736,3222,3357,3222
Manipur,103,105,77,74,47,44,60,32,24,20,17,7,7,16,49,29,24,29,10,9,19,413,319,319,279,97,91,159
Meghalaya,75,33,33,48,17,98,36,18,8,8,20,4,17,12,26,11,11,23,9,51,14,86,144,144,210,63,166,16
Mizoram,8,5,36,5,13,7,3,4,3,22,5,6,5,2,5,3,25,11,23,22,3,25,10,40,72,75,45,34
Nagaland,6,42,19,11,4,5,4,3,5,13,3,3,4,2,1,6,38,10,7,5,7,15,37,151,4,69,45,3
Odisha,872,828,861,917,821,909,719,243,248,277,260,258,307,229,287,272,318,301,320,391,262,1515,1987,1952,1970,1588,1489,1283
Punjab,596,577,601,666,593,553,556,330,355,325,377,369,364,348,372,424,387,447,340,438,403,585,529,645,514,564,451,410
Rajasthan,2213,1998,2154,2161,2023,1979,1857,643,631,670,735,678,719,710,748,752,834,893,837,917,985,4043,3653,6096,4015,3821,3525,3797
