States/UTs,Number of Road Accidents - Total 2006,Number of Road Accidents - Total 2007,Number of Road Accidents - Total 2008,Number of Road Accidents - Total 2009,Number of Road Accidents - Total 2010,Number of Road Accidents - Total 2011,Number of Road Accidents - Total 2012,Number of Road Accidents - Fatal 2006,Number of Road Accidents - Fatal 2007,Number of Road Accidents - Fatal 2008,Number of Road Accidents - Fatal 2009,Number of Road Accidents - Fatal 2010,Number of Road Accidents - Fatal 2011,Number of Road Accidents - Fatal 2012,Number of Persons - Killed 2006,Number of Persons - Killed 2007,Number of Persons - Killed 2008,Number of Persons - Killed 2009,Number of Persons - Killed 2010,Number of Persons - Killed 2011,Number of Persons - Killed 2012,Number of Persons - Injured 2006,Number of Persons - Injured 2007,Number of Persons - Injured 2008,Number of Persons - Injured 2009,Number of Persons - Injured 2010,Number of Persons - Injured 2011,Number of Persons - Injured 2012
Andhra Pradesh,5406,5421,6194,5348,7237,6963,7584,1622,1443,1394,1577,1903,1845,1924,1451,1216,1655,1435,1948,1914,2173,7035,9510,6735,6396,8741,8580,9294
Arunachal Pradesh,77,52,99,86,73,68,41,20,16,33,34,22,24,16,30,19,48,44,28,33,21,121,93,123,103,119,132,76
Assam,1027,929,985,1103,1367,1515,1454,319,270,304,396,419,424,419,319,300,330,471,491,490,454,1013,1007,1023,1264,1501,1488,1447
Bihar,1364,1829,1936,1814,2890,2098,1900,526,724,680,665,1181,960,857,546,795,823,714,1313,1017,943,949,1507,1625,1643,2302,1514,1492
Chhattisgarh,2241,2401,2514,2828,3015,2778,2234,322,329,360,406,387,348,352,342,363,442,450,479,408,380,2311,2509,2684,3155,3406,2972,2844
Goa,834,920,782,862,1174,1197,1527,33,34,29,30,43,62,78,35,41,33,35,44,66,81,539,656,554,696,611,425,650
Gujarat,5568,6173,5807,5249,5155,5005,4995,894,990,995,1007,1129,1154,1158,1059,1198,1212,1194,1378,1370,1428,6516,6843,6531,6159,6183,5492,5356
Haryana,2586,2887,2882,2929,2797,2783,2590,805,865,877,901,893,902,864,941,1001,1010,1025,1039,1044,1009,2339,2504,2549,2538,2424,2405,2361
Himachal Pradesh,814,854,951,1189,891,1110,1114,189,163,202,284,225,241,302,315,266,300,440,391,397,486,1784,1402,1696,2293,1608,1953,2050
Jammu & Kashmir,1075,894,992,1224,1166,1224,314,88,121,117,126,129,121,68,106,162,139,162,158,140,73,1264,1301,1276,1494,1435,851,240
Jharkhand,904,732,1031,761,786,766,748,295,277,314,268,305,322,271,343,286,364,293,346,359,294,689,697,977,764,872,803,929
Karnataka,7954,8082,8606,8559,8432,8528,8515,933,1001,1115,1182,1198,1429,1556,1050,1131,1254,1332,1374,1598,1735,10245,10883,10595,12042,11445,11431,11061
Kerala,9126,9564,8902,8460,8371,8457,8693,664,885,925,905,928,1006,1040,760,973,1002,984,1014,1077,1116,11320,12067,10971,10343,10411,10437,10566
Madhya Pradesh,8120,9111,9421,10515,10636,10308,11474,1002,983,1106,1203,1363,1284,1382,1136,1249,1333,1426,1571,1440,1537,8853,10343,11073,11974,11784,10993,12108
Maharashtra,23260,24225,19662,19150,15029,16477,15903,1722,1900,1822,1612,1995,1901,1975,1837,2103,2357,2364,2173,2124,2168,10631,10845,10552,10620,11110,9791,9420
Manipur,113,131,113,148,156,176,232,16,9,19,13,16,24,23,25,11,26,14,19,28,26,197,226,194,304,281,312,411
Meghalaya,116,85,85,128,146,166,123,17,16,16,38,32,37,37,23,18,18,49,38,44,42,105,85,85,175,126,199,78
Mizoram,43,8,26,20,22,29,23,24,4,9,11,12,12,12,29,6,16,12,11,12,14,46,5,92,36,54,75,50
