States/UTs,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,21517,21134,18890,18588,20186,21387,17516
Arunachal Pradesh,256,204,337,193,301,240,227
Assam,2691,3028,2723,3085,4438,3686,4141
Bihar,1418,1849,2604,2835,2858,3176,3327
Chhattisgarh,5368,4721,5417,5238,5487,5656,5631
Goa,921,1115,1372,1219,1412,884,789
Gujarat,11653,12277,14741,11791,11351,9877,9550
Haryana,2444,2924,2966,2888,2601,2561,2402
Himachal Pradesh,1631,1551,1641,2001,2029,2047,1719
Jammu & Kashmir,2185,2441,3577,3311,3899,3334,2911
Jharkhand,1687,1675,1841,1656,1960,1987,2085
Karnataka,23966,24241,24061,22842,25170,19610,18890
Kerala,18987,18900,17181,16219,16278,16241,16451
Madhya Pradesh,19114,23606,24088,23924,25985,26045,25540
Maharashtra,21069,19878,20556,15734,21585,17262,16662
Manipur,695,751,863,271,524,343,931
Meghalaya,154,139,137,123,157,266,241
Mizoram,55,55,146,116,113,43,46
Nagaland,204,39,125,107,121,107,42
Odisha,4603,5016,4810,5040,5585,5316,4806
Punjab,1362,2072,1561,1564,1582,1372,1343
Rajasthan,13678,10238,9856,9964,10168,10525,9306
Sikkim,75,59,46,169,73,101,123
Tamil Nadu,31138,32586,32197,31624,30151,29129,30315
Tripura,266,470,296,234,233,284,430
Uttarakhand,645,779,679,906,839,775,784
Uttar Pradesh,5861,6781,8349,9636,9880,8959,12434
West Bengal,5908,6613,6258,5408,8591,7929,6470
Andaman & Nicobar Islands,96,212,176,190,141,58,71
Chandigarh,486,484,369,295,353,330,300
Dadra & Nagar Haveli,17,29,34,15,20,14,10
Daman & Diu,20,37,20,23,9,7,12
Delhi,7668,7427,7343,6936,7108,7226,6633
Lakshadweep,0,0,0,0,0,0,0
Puducherry,652,668,944,874,810,767,908
All India,208490,213999,216204,205019,221998,207544,203046
