States/UTs,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,4238,5015,4659,5382,5334,5429,4776
Arunachal Pradesh,86,34,104,74,58,66,81
Assam,970,1000,1023,1134,1415,1406,1338
Bihar,863,1105,1488,1537,1686,2238,2460
Chhattisgarh,1052,1056,1047,1045,1102,1153,1124
Goa,111,138,150,147,168,151,116
Gujarat,1524,1592,2139,1625,1866,1890,1844
Haryana,1161,1401,1450,1516,1619,1644,1448
Himachal Pradesh,278,246,231,374,293,254,246
Jammu & Kashmir,301,301,423,392,425,427,459
Jharkhand,885,747,853,832,960,1044,1144
Karnataka,3380,3497,3210,3089,3571,2929,3217
Kerala,1857,1559,1618,1589,1639,1720,1779
Madhya Pradesh,2149,2854,2803,2556,3223,2842,3248
Maharashtra,4060,4086,4512,3533,4767,3998,4134
Manipur,98,77,117,19,66,56,93
Meghalaya,58,39,32,30,43,78,150
Mizoram,32,31,45,28,33,23,28
Nagaland,47,54,43,36,40,25,39
Odisha,1208,1209,1343,1471,1697,1788,1703
Punjab,935,1412,1119,1192,1180,1592,1320
Rajasthan,3048,2479,2405,2526,2662,2943,2931
Sikkim,11,7,18,24,10,33,19
Tamil Nadu,4850,5948,6318,6278,5837,6222,6340
Tripura,72,75,52,46,48,91,106
Uttarakhand,368,449,435,442,457,449,410
Uttar Pradesh,4189,4919,6006,6618,7605,6647,7839
West Bengal,2161,2244,2756,2038,2815,2748,2586
Andaman & Nicobar Islands,11,15,12,18,8,4,7
Chandigarh,133,139,133,155,122,102,114
Dadra & Nagar Haveli,8,17,8,5,10,7,7
Daman & Diu,6,14,6,7,6,6,9
Delhi,1890,1936,2093,2325,2153,2065,1866
Lakshadweep,0,0,0,0,0,0,0
Puducherry,79,98,67,98,131,127,146
All India,42119,45793,48718,48181,53049,52197,53127
