STATE/UT,Year,CAUSE,Male,Female,Total
ANDHRA PRADESH,2001,Truck/Lorry (Government),103,26,129
ANDHRA PRADESH,2001,Truck/Lorry (Private),2171,414,2585
ANDHRA PRADESH,2001,Bus (Government),488,119,607
ANDHRA PRADESH,2001,Bus (Private),289,76,365
ANDHRA PRADESH,2001,Tempo/Vans (Government),13,3,16
ANDHRA PRADESH,2001,Tempo/Vans (Private),310,70,380
ANDHRA PRADESH,2001,Jeep (Government),31,9,40
ANDHRA PRADESH,2001,Jeep (Private),473,111,584
ANDHRA PRADESH,2001,Car (Government),18,0,18
ANDHRA PRADESH,2001,Car (Private),426,125,551
ANDHRA PRADESH,2001,Three Wheeler,473,138,611
ANDHRA PRADESH,2001,Two Wheeler,775,94,869
ANDHRA PRADESH,2001,Bicycle,169,12,181
ANDHRA PRADESH,2001,Pedestrian,307,67,374
ANDHRA PRADESH,2001,Others (Please Specify),901,163,1064
ANDHRA PRADESH,2001,Total Deaths (Persons),6947,1427,8374
ANDHRA PRADESH,2001,Total Truck/Lorry,2274,440,2714
ANDHRA PRADESH,2001,Total Bus,777,195,972
ANDHRA PRADESH,2001,Total Tempo/Vans,323,73,396
ANDHRA PRADESH,2001,Total Jeep,504,120,624
ANDHRA PRADESH,2001,Total Car,444,125,569
ANDHRA PRADESH,2002,Truck/Lorry (Government),42,8,50
ANDHRA PRADESH,2002,Truck/Lorry (Private),2664,425,3089
ANDHRA PRADESH,2002,Bus (Government),595,146,741
ANDHRA PRADESH,2002,Bus (Private),294,67,361
ANDHRA PRADESH,2002,Tempo/Vans (Government),35,11,46
ANDHRA PRADESH,2002,Tempo/Vans (Private),413,58,471
ANDHRA PRADESH,2002,Jeep (Government),34,1,35
ANDHRA PRADESH,2002,Jeep (Private),416,97,513
ANDHRA PRADESH,2002,Car (Government),23,4,27
ANDHRA PRADESH,2002,Car (Private),341,101,442
ANDHRA PRADESH,2002,Three Wheeler,724,188,912
ANDHRA PRADESH,2002,Two Wheeler,871,138,1009
ANDHRA PRADESH,2002,Bicycle,160,15,175
ANDHRA PRADESH,2002,Pedestrian,493,90,583
ANDHRA PRADESH,2002,Others (Please Specify),729,168,897
ANDHRA PRADESH,2002,Total Deaths (Persons),7834,1517,9351
ANDHRA PRADESH,2002,Total Truck/Lorry,2706,433,3139
ANDHRA PRADESH,2002,Total Bus,889,213,1102
ANDHRA PRADESH,2002,Total Tempo/Vans,448,69,517
ANDHRA PRADESH,2002,Total Jeep,450,98,548
ANDHRA PRADESH,2002,Total Car,364,105,469
ANDHRA PRADESH,2003,Truck/Lorry (Government),14,1,15
ANDHRA PRADESH,2003,Truck/Lorry (Private),2542,476,3018
ANDHRA PRADESH,2003,Bus (Government),468,169,637
ANDHRA PRADESH,2003,Bus (Private),376,92,468
ANDHRA PRADESH,2003,Tempo/Vans (Government),6,0,6
ANDHRA PRADESH,2003,Tempo/Vans (Private),334,81,415
ANDHRA PRADESH,2003,Jeep (Government),23,7,30
ANDHRA PRADESH,2003,Jeep (Private),536,165,701
ANDHRA PRADESH,2003,Car (Government),10,1,11
ANDHRA PRADESH,2003,Car (Private),487,147,634
ANDHRA PRADESH,2003,Three Wheeler,727,240,967
ANDHRA PRADESH,2003,Two Wheeler,1139,212,1351
ANDHRA PRADESH,2003,Bicycle,156,12,168
ANDHRA PRADESH,2003,Pedestrian,455,140,595
ANDHRA PRADESH,2003,Others (Please Specify),888,264,1152
ANDHRA PRADESH,2003,Total Deaths (Persons),8161,2007,10168
ANDHRA PRADESH,2003,Total Truck/Lorry,2556,477,3033
ANDHRA PRADESH,2003,Total Bus,844,261,1105
ANDHRA PRADESH,2003,Total Tempo/Vans,340,81,421
ANDHRA PRADESH,2003,Total Jeep,559,172,731
ANDHRA PRADESH,2003,Total Car,497,148,645
ANDHRA PRADESH,2004,Truck/Lorry (Government),15,3,18
ANDHRA PRADESH,2004,Truck/Lorry (Private),2687,448,3135
ANDHRA PRADESH,2004,Bus (Government),597,116,713
ANDHRA PRADESH,2004,Bus (Private),253,52,305
ANDHRA PRADESH,2004,Tempo/Vans (Government),21,4,25
ANDHRA PRADESH,2004,Tempo/Vans (Private),500,100,600
