STATE/UT,Year,CAUSE,Male,Female,Total
TOTAL (ALL INDIA),2013,Truck/Lorry (Government),317,63,380
TOTAL (ALL INDIA),2013,Truck/Lorry (Private),20921,2780,23701
TOTAL (ALL INDIA),2013,Bus (Government),3089,610,3699
TOTAL (ALL INDIA),2013,Bus (Private),6700,1656,8356
TOTAL (ALL INDIA),2013,Tempo/Vans (Government),193,51,244
TOTAL (ALL INDIA),2013,Tempo/Vans (Private),6600,1294,7894
TOTAL (ALL INDIA),2013,Jeep (Government),216,58,274
TOTAL (ALL INDIA),2013,Jeep (Private),6881,1441,8322
TOTAL (ALL INDIA),2013,Car (Government),202,36,238
TOTAL (ALL INDIA),2013,Car (Private),12157,2408,14565
TOTAL (ALL INDIA),2013,Three Wheeler,5310,1182,6492
TOTAL (ALL INDIA),2013,Two Wheeler,29988,4199,34187
TOTAL (ALL INDIA),2013,Bicycle,2353,234,2587
TOTAL (ALL INDIA),2013,Pedestrian,10005,2380,12385
TOTAL (ALL INDIA),2013,Others (Please Specify),12123,1976,14099
TOTAL (ALL INDIA),2013,Total Deaths (Persons),117055,20368,137423
TOTAL (ALL INDIA),2013,Total Truck/Lorry,21238,2843,24081
TOTAL (ALL INDIA),2013,Total Bus,9789,2266,12055
TOTAL (ALL INDIA),2013,Total Tempo/Vans,6793,1345,8138
TOTAL (ALL INDIA),2013,Total Jeep,7097,1499,8596
TOTAL (ALL INDIA),2013,Total Car,12359,2444,14803
TOTAL (STATES),2013,Truck/Lorry (Government),313,63,376
TOTAL (STATES),2013,Truck/Lorry (Private),20688,2751,23439
TOTAL (STATES),2013,Bus (Government),3020,605,3625
TOTAL (STATES),2013,Bus (Private),6638,1648,8286
TOTAL (STATES),2013,Tempo/Vans (Government),186,50,236
TOTAL (STATES),2013,Tempo/Vans (Private),6520,1280,7800
TOTAL (STATES),2013,Jeep (Government),215,58,273
TOTAL (STATES),2013,Jeep (Private),6863,1435,8298
TOTAL (STATES),2013,Car (Government),202,35,237
TOTAL (STATES),2013,Car (Private),11864,2380,14244
TOTAL (STATES),2013,Three Wheeler,5261,1167,6428
TOTAL (STATES),2013,Two Wheeler,29464,4137,33601
TOTAL (STATES),2013,Bicycle,2285,230,2515
TOTAL (STATES),2013,Pedestrian,9655,2327,11982
TOTAL (STATES),2013,Others (Please Specify),11826,1956,13782
TOTAL (STATES),2013,Total Deaths (Persons),115000,20122,135122
TOTAL (STATES),2013,Total Truck/Lorry,21001,2814,23815
TOTAL (STATES),2013,Total Bus,9658,2253,11911
TOTAL (STATES),2013,Total Tempo/Vans,6706,1330,8036
TOTAL (STATES),2013,Total Jeep,7078,1493,8571
TOTAL (STATES),2013,Total Car,12066,2415,14481
TOTAL (UTs),2013,Truck/Lorry (Government),4,0,4
TOTAL (UTs),2013,Truck/Lorry (Private),233,29,262
TOTAL (UTs),2013,Bus (Government),69,5,74
TOTAL (UTs),2013,Bus (Private),62,8,70
TOTAL (UTs),2013,Tempo/Vans (Government),7,1,8
TOTAL (UTs),2013,Tempo/Vans (Private),80,14,94
TOTAL (UTs),2013,Jeep (Government),1,0,1
TOTAL (UTs),2013,Jeep (Private),18,6,24
TOTAL (UTs),2013,Car (Government),0,1,1
TOTAL (UTs),2013,Car (Private),293,28,321
TOTAL (UTs),2013,Three Wheeler,49,15,64
TOTAL (UTs),2013,Two Wheeler,524,62,586
TOTAL (UTs),2013,Bicycle,68,4,72
TOTAL (UTs),2013,Pedestrian,350,53,403
TOTAL (UTs),2013,Others (Please Specify),297,20,317
TOTAL (UTs),2013,Total Deaths (Persons),2055,246,2301
TOTAL (UTs),2013,Total Truck/Lorry,237,29,266
TOTAL (UTs),2013,Total Bus,131,13,144
TOTAL (UTs),2013,Total Tempo/Vans,87,15,102
TOTAL (UTs),2013,Total Jeep,19,6,25
TOTAL (UTs),2013,Total Car,293,29,322
ANDHRA PRADESH,2013,Truck/Lorry (Government),19,4,23
ANDHRA PRADESH,2013,Truck/Lorry (Private),2536,348,2884
ANDHRA PRADESH,2013,Bus (Government),582,118,700
ANDHRA PRADESH,2013,Bus (Private),377,105,482
ANDHRA PRADESH,2013,Tempo/Vans (Government),6,5,11
ANDHRA PRADESH,2013,Tempo/Vans (Private),639,111,750
ANDHRA PRADESH,2013,Jeep (Government),6,8,14
ANDHRA PRADESH,2013,Jeep (Private),485,115,600
ANDHRA PRADESH,2013,Car (Government),102,17,119
ANDHRA PRADESH,2013,Car (Private),1200,297,1497
ANDHRA PRADESH,2013,Three Wheeler,1344,340,1684
ANDHRA PRADESH,2013,Two Wheeler,2664,433,3097
ANDHRA PRADESH,2013,Bicycle,170,11,181
ANDHRA PRADESH,2013,Pedestrian,768,192,960
ANDHRA PRADESH,2013,Others (Please Specify),1445,200,1645
ANDHRA PRADESH,2013,Total Deaths (Persons),12343,2304,14647
ANDHRA PRADESH,2013,Total Truck/Lorry,2555,352,2907
ANDHRA PRADESH,2013,Total Bus,959,223,1182
ANDHRA PRADESH,2013,Total Tempo/Vans,645,116,761
ANDHRA PRADESH,2013,Total Jeep,491,123,614
ANDHRA PRADESH,2013,Total Car,1302,314,1616
ARUNACHAL PRADESH,2013,Truck/Lorry (Government),5,0,5
ARUNACHAL PRADESH,2013,Truck/Lorry (Private),28,2,30
ARUNACHAL PRADESH,2013,Bus (Government),5,1,6
ARUNACHAL PRADESH,2013,Bus (Private),5,3,8
ARUNACHAL PRADESH,2013,Tempo/Vans (Government),0,0,0
ARUNACHAL PRADESH,2013,Tempo/Vans (Private),7,3,10
ARUNACHAL PRADESH,2013,Jeep (Government),0,0,0
ARUNACHAL PRADESH,2013,Jeep (Private),15,5,20
ARUNACHAL PRADESH,2013,Car (Government),4,1,5
ARUNACHAL PRADESH,2013,Car (Private),8,1,9
ARUNACHAL PRADESH,2013,Three Wheeler,5,0,5
ARUNACHAL PRADESH,2013,Two Wheeler,22,8,30
ARUNACHAL PRADESH,2013,Bicycle,0,0,0
ARUNACHAL PRADESH,2013,Pedestrian,2,0,2
ARUNACHAL PRADESH,2013,Others (Please Specify),24,1,25
ARUNACHAL PRADESH,2013,Total Deaths (Persons),130,25,155
ARUNACHAL PRADESH,2013,Total Truck/Lorry,33,2,35
ARUNACHAL PRADESH,2013,Total Bus,10,4,14
ARUNACHAL PRADESH,2013,Total Tempo/Vans,7,3,10
ARUNACHAL PRADESH,2013,Total Jeep,15,5,20
ARUNACHAL PRADESH,2013,Total Car,12,2,14
ASSAM,2013,Truck/Lorry (Government),0,0,0
ASSAM,2013,Truck/Lorry (Private),419,36,455
ASSAM,2013,Bus (Government),7,0,7
ASSAM,2013,Bus (Private),215,56,271
ASSAM,2013,Tempo/Vans (Government),0,0,0
ASSAM,2013,Tempo/Vans (Private),155,43,198
ASSAM,2013,Jeep (Government),0,0,0
ASSAM,2013,Jeep (Private),90,4,94
ASSAM,2013,Car (Government),0,0,0
ASSAM,2013,Car (Private),439,86,525
ASSAM,2013,Three Wheeler,141,17,158
ASSAM,2013,Two Wheeler,476,60,536
ASSAM,2013,Bicycle,27,2,29
ASSAM,2013,Pedestrian,45,7,52
ASSAM,2013,Others (Please Specify),110,6,116
ASSAM,2013,Total Deaths (Persons),2124,317,2441
ASSAM,2013,Total Truck/Lorry,419,36,455
ASSAM,2013,Total Bus,222,56,278
ASSAM,2013,Total Tempo/Vans,155,43,198
ASSAM,2013,Total Jeep,90,4,94
ASSAM,2013,Total Car,439,86,525
